업종,신고번호,상호,우편번호,시설주소(지번),시설주소(도로명),시설부지면적(제곱미터),시설면적(제곱미터),건물연면적(제곱미터),건물구조,지역구분,영업구분,최초등록일자,최근변경일자,민원처리여부,민원처리일자,실내여부,지도자1급,지도자2급,지도자3급,운동시설세부,체육도장업분류여부,체육도장업상세분류,등록기준일
체육도장업,30102-2017-000020,용인대 성민태권도,30127,세종특별자치시 새롬동 산 19 ,세종특별자치시 새롬중앙로 62-15 501502호 (새롬동 해피라움W),,,,철근콘크리트조,근린상업지역,영업중,2017-07-12,2019-12-24,해결,2019-12-24,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2017-000021,세종 무궁화 태권도(천군관),30127,세종특별자치시 새롬동 341-74 크리스마스빌딩 606호,세종특별자치시 새롬중앙로 34 크리스마스빌딩 6층 606호 (새롬동),,143,,철골콘크리트조,근린상업지역,영업중,2017-08-08,2018-05-09,해결,2018-05-09,실내,,,1,바닥면적 [제곱미터] : 143,Y,태권도,2022-11-30
체육도장업,30102-2017-000022,글로벌태권도 교육연맹 직영 세종도장,30064,세종특별자치시 종촌동 672 메가시티 ,세종특별자치시 도움1로 106 메가시티 317318호 (종촌동),4529,183,,철골콘크리트조,근린상업지역,영업중,2017-09-25,2018-06-25,해결,2018-06-25,실내,,1,,바닥면적 [제곱미터] : 91,Y,태권도,2022-11-30
체육도장업,30102-2017-000023,챔피언태권도,30063,세종특별자치시 고운동 1720 에셀프라자 ,세종특별자치시 마음로 70 407호 (고운동),1408,144,9996,철골콘크리트조,근린상업지역,영업중,2017-10-13,2018-03-22,해결,2018-03-22,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2017-000024,에이펙스,30150,세종특별자치시 보람동 629-5 스마트허브4 ,세종특별자치시 남세종로 446 스마트허브4 305306호 (보람동),,285,,철골콘크리트조,일반상업지역,영업중,2017-10-19,2019-03-26,해결,2019-03-26,실내,,,1,바닥면적 [제곱미터] : 192,Y,태권도,2022-11-30
체육도장업,30102-2017-000025,경희대 석사 태비 태권도,30150,세종특별자치시 보람동 629-5 보람빌딩 ,세종특별자치시 남세종로 450 보람빌딩 607608호 (보람동),,170,,철골콘크리트조,일반상업지역,영업중,2017-12-08,,해결,2017-12-08,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2017-000026,세종 고운 검도관,30062,세종특별자치시 고운동 1373 ,세종특별자치시 마음로 272-3 고운에듀프라자 505호 (고운동),,145,892,철근콘크리트조,근린상업지역,영업중,2017-12-18,2020-12-22,해결,2020-12-25,실외,,1,,,Y,검도,2022-11-30
체육도장업,30102-2017-000027,고운 하늘 태권도,30063,세종특별자치시 고운동 1719 그랜드프라자 405호,세종특별자치시 마음로 74 그랜드프라자 4층 405호 (고운동),222,,,,상업지역,영업중,2017-12-21,,해결,2017-12-21,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2017-000028,고려 태권도 체육관,30123,세종특별자치시 다정동 7-2 페스티발2 ,세종특별자치시 다정중앙로 52 페스티발2 502503호 (다정동),,101,,철골콘크리트조,근린상업지역,영업중,2017-12-28,2020-02-20,해결,2020-02-19,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2018-000001,경희대 아인 태권도,30126,세종특별자치시 새롬동 341-105 새뜸프라자 ,세종특별자치시 새롬중앙로 33 새뜸프라자 5층 508509호 (새롬동),1708,182,10472,철근콘크리트조,근린상업지역,영업중,2018-01-05,,해결,2018-01-05,실내,,1,,바닥면적 [제곱미터] : 182,Y,태권도,2022-11-30
체육도장업,30102-2018-000002,세종의 아침 태권도,30124,세종특별자치시 다정동 6-5 다정센타프라자 ,세종특별자치시 다정중앙로 57 다정센타프라자 606호 (다정동),,119,,철근콘크리트조,근린상업지역,영업중,2018-01-23,2020-03-16,해결,2020-03-16,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2018-000003,다정태권도,30123,세종특별자치시 다정동 6-3 다정메디프라자 ,세종특별자치시 다정중앙로 58 다정메디프라자 406호 (다정동),116,116,,철근콘크리트조,근린상업지역,영업중,2018-01-26,2019-12-30,해결,2019-12-30,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2018-000005,대평경희대태권도,30153,세종특별자치시 대평동 266-6 해들마을2단지 ,세종특별자치시 대평1길 37 2층 204호 (대평동 해들마을2단지),,102,,,,영업중,2018-03-09,,해결,2018-03-09,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2018-000006,경희대새움태권도,30123,세종특별자치시 다정동 938 리치타워 ,세종특별자치시 다정중앙로 40 리치타워 411호 (다정동),,159,,,,영업중,2018-03-19,2021-06-28,해결,2021-06-28,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2018-000008,세계로태권도,30123,세종특별자치시 다정동 7-2 페스티발2 ,세종특별자치시 다정중앙로 52 페스티발2 6층 612호 (다정동),,99,,,,영업중,2018-04-12,,해결,2018-04-12,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2018-000009,경희대 태권도(다정동),30124,세종특별자치시 다정동 산 29 가온마을2단지 2012호,세종특별자치시 다정북로 110 201202호 (다정동 가온마을2단지),,98,,,,영업중,2018-04-23,2019-11-12,해결,2019-11-13,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2018-000010,다정MBA태권도,30124,세종특별자치시 다정동 38-4 가온마을1단지 ,세종특별자치시 다정남로 22 129호 (다정동 가온마을1단지),,67,,,,영업중,2018-04-24,2020-01-29,해결,2020-01-29,실내,,1,,바닥면적 [제곱미터] : 105,Y,태권도,2022-11-30
